Id,Name,Month,Country,Confirmed,Deaths,Recovered,New cases,New deaths,New recovered
97,COVID-19,2020-01-01,Lebanon,0,0,0,0,0,0
98,COVID-19,2020-01-01,Lesotho,0,0,0,0,0,0
99,COVID-19,2020-01-01,Liberia,0,0,0,0,0,0
100,COVID-19,2020-01-01,Libya,0,0,0,0,0,0
101,COVID-19,2020-01-01,Liechtenstein,0,0,0,0,0,0
102,COVID-19,2020-01-01,Lithuania,0,0,0,0,0,0
103,COVID-19,2020-01-01,Luxembourg,0,0,0,0,0,0
104,COVID-19,2020-01-01,Madagascar,0,0,0,0,0,0
105,COVID-19,2020-01-01,Malawi,0,0,0,0,0,0
106,COVID-19,2020-01-01,Malaysia,8,0,0,8,0,0
107,COVID-19,2020-01-01,Maldives,0,0,0,0,0,0
108,COVID-19,2020-01-01,Mali,0,0,0,0,0,0
109,COVID-19,2020-01-01,Malta,0,0,0,0,0,0
110,COVID-19,2020-01-01,Mauritania,0,0,0,0,0,0
111,COVID-19,2020-01-01,Mauritius,0,0,0,0,0,0
112,COVID-19,2020-01-01,Mexico,0,0,0,0,0,0
113,COVID-19,2020-01-01,Moldova,0,0,0,0,0,0
114,COVID-19,2020-01-01,Monaco,0,0,0,0,0,0
115,COVID-19,2020-01-01,Mongolia,0,0,0,0,0,0
116,COVID-19,2020-01-01,Montenegro,0,0,0,0,0,0
117,COVID-19,2020-01-01,Morocco,0,0,0,0,0,0
118,COVID-19,2020-01-01,Mozambique,0,0,0,0,0,0
119,COVID-19,2020-01-01,Namibia,0,0,0,0,0,0
120,COVID-19,2020-01-01,Nepal,1,0,0,1,0,0
121,COVID-19,2020-01-01,Netherlands,0,0,0,0,0,0
122,COVID-19,2020-01-01,New Zealand,0,0,0,0,0,0
123,COVID-19,2020-01-01,Nicaragua,0,0,0,0,0,0
124,COVID-19,2020-01-01,Niger,0,0,0,0,0,0
125,COVID-19,2020-01-01,Nigeria,0,0,0,0,0,0
126,COVID-19,2020-01-01,North Macedonia,0,0,0,0,0,0
127,COVID-19,2020-01-01,Norway,0,0,0,0,0,0
128,COVID-19,2020-01-01,Oman,0,0,0,0,0,0
129,COVID-19,2020-01-01,Pakistan,0,0,0,0,0,0
130,COVID-19,2020-01-01,Panama,0,0,0,0,0,0
131,COVID-19,2020-01-01,Papua New Guinea,0,0,0,0,0,0
132,COVID-19,2020-01-01,Paraguay,0,0,0,0,0,0
133,COVID-19,2020-01-01,Peru,0,0,0,0,0,0
134,COVID-19,2020-01-01,Philippines,1,0,0,1,0,0
135,COVID-19,2020-01-01,Poland,0,0,0,0,0,0
136,COVID-19,2020-01-01,Portugal,0,0,0,0,0,0
137,COVID-19,2020-01-01,Qatar,0,0,0,0,0,0
138,COVID-19,2020-01-01,Romania,0,0,0,0,0,0
139,COVID-19,2020-01-01,Russia,2,0,0,2,0,0
140,COVID-19,2020-01-01,Rwanda,0,0,0,0,0,0
141,COVID-19,2020-01-01,Saint Kitts and Nevis,0,0,0,0,0,0
142,COVID-19,2020-01-01,Saint Lucia,0,0,0,0,0,0
143,COVID-19,2020-01-01,Saint Vincent and the Grenadines,0,0,0,0,0,0
144,COVID-19,2020-01-01,San Marino,0,0,0,0,0,0
145,COVID-19,2020-01-01,Sao Tome and Principe,0,0,0,0,0,0
146,COVID-19,2020-01-01,Saudi Arabia,0,0,0,0,0,0
147,COVID-19,2020-01-01,Senegal,0,0,0,0,0,0
148,COVID-19,2020-01-01,Serbia,0,0,0,0,0,0
149,COVID-19,2020-01-01,Seychelles,0,0,0,0,0,0
150,COVID-19,2020-01-01,Sierra Leone,0,0,0,0,0,0
151,COVID-19,2020-01-01,Singapore,13,0,0,13,0,0
152,COVID-19,2020-01-01,Slovakia,0,0,0,0,0,0
153,COVID-19,2020-01-01,Slovenia,0,0,0,0,0,0
154,COVID-19,2020-01-01,Somalia,0,0,0,0,0,0
155,COVID-19,2020-01-01,South Africa,0,0,0,0,0,0
156,COVID-19,2020-01-01,South Korea,11,0,0,10,0,0
157,COVID-19,2020-01-01,South Sudan,0,0,0,0,0,0
158,COVID-19,2020-01-01,Spain,0,0,0,0,0,0
159,COVID-19,2020-01-01,Sri Lanka,1,0,0,1,0,0
160,COVID-19,2020-01-01,Sudan,0,0,0,0,0,0
161,COVID-19,2020-01-01,Suriname,0,0,0,0,0,0
162,COVID-19,2020-01-01,Sweden,1,0,0,1,0,0
163,COVID-19,2020-01-01,Switzerland,0,0,0,0,0,0
164,COVID-19,2020-01-01,Syria,0,0,0,0,0,0
165,COVID-19,2020-01-01,Taiwan*,10,0,0,9,0,0
166,COVID-19,2020-01-01,Tajikistan,0,0,0,0,0,0
167,COVID-19,2020-01-01,Tanzania,0,0,0,0,0,0
168,COVID-19,2020-01-01,Thailand,19,0,5,17,0,5
169,COVID-19,2020-01-01,Timor-Leste,0,0,0,0,0,0
170,COVID-19,2020-01-01,Togo,0,0,0,0,0,0
171,COVID-19,2020-01-01,Trinidad and Tobago,0,0,0,0,0,0
172,COVID-19,2020-01-01,Tunisia,0,0,0,0,0,0
173,COVID-19,2020-01-01,Turkey,0,0,0,0,0,0
174,COVID-19,2020-01-01,US,7,0,0,6,0,0
175,COVID-19,2020-01-01,Uganda,0,0,0,0,0,0
176,COVID-19,2020-01-01,Ukraine,0,0,0,0,0,0
177,COVID-19,2020-01-01,United Arab Emirates,4,0,0,4,0,0
178,COVID-19,2020-01-01,United Kingdom,2,0,0,2,0,0
179,COVID-19,2020-01-01,Uruguay,0,0,0,0,0,0
180,COVID-19,2020-01-01,Uzbekistan,0,0,0,0,0,0
181,COVID-19,2020-01-01,Venezuela,0,0,0,0,0,0
182,COVID-19,2020-01-01,Vietnam,2,0,0,2,0,0
183,COVID-19,2020-01-01,West Bank and Gaza,0,0,0,0,0,0
184,COVID-19,2020-01-01,Western Sahara,0,0,0,0,0,0
185,COVID-19,2020-01-01,Yemen,0,0,0,0,0,0
186,COVID-19,2020-01-01,Zambia,0,0,0,0,0,0
187,COVID-19,2020-01-01,Zimbabwe,0,0,0,0,0,0
188,COVID-19,2020-02-01,Afghanistan,1,0,0,1,0,0
189,COVID-19,2020-02-01,Albania,0,0,0,0,0,0
190,COVID-19,2020-02-01,Algeria,1,0,0,1,0,0
191,COVID-19,2020-02-01,Andorra,0,0,0,0,0,0
192,COVID-19,2020-02-01,Angola,0,0,0,0,0,0
193,COVID-19,2020-02-01,Antigua and Barbuda,0,0,0,0,0,0
194,COVID-19,2020-02-01,Argentina,0,0,0,0,0,0
195,COVID-19,2020-02-01,Armenia,0,0,0,0,0,0
196,COVID-19,2020-02-01,Australia,25,0,11,16,0,9
197,COVID-19,2020-02-01,Austria,9,0,0,9,0,0
198,COVID-19,2020-02-01,Azerbaijan,0,0,0,0,0,0
199,COVID-19,2020-02-01,Bahamas,0,0,0,0,0,0
200,COVID-19,2020-02-01,Bahrain,41,0,0,41,0,0
201,COVID-19,2020-02-01,Bangladesh,0,0,0,0,0,0
202,COVID-19,2020-02-01,Barbados,0,0,0,0,0,0
203,COVID-19,2020-02-01,Belarus,1,0,0,1,0,0
204,COVID-19,2020-02-01,Belgium,1,0,1,1,0,1
205,COVID-19,2020-02-01,Belize,0,0,0,0,0,0
206,COVID-19,2020-02-01,Benin,0,0,0,0,0,0
207,COVID-19,2020-02-01,Bhutan,0,0,0,0,0,0
208,COVID-19,2020-02-01,Bolivia,0,0,0,0,0,0
209,COVID-19,2020-02-01,Bosnia and Herzegovina,0,0,0,0,0,0
210,COVID-19,2020-02-01,Botswana,0,0,0,0,0,0
211,COVID-19,2020-02-01,Brazil,2,0,0,2,0,0
212,COVID-19,2020-02-01,Brunei,0,0,0,0,0,0
213,COVID-19,2020-02-01,Bulgaria,0,0,0,0,0,0
214,COVID-19,2020-02-01,Burkina Faso,0,0,0,0,0,0
215,COVID-19,2020-02-01,Burma,0,0,0,0,0,0
216,COVID-19,2020-02-01,Burundi,0,0,0,0,0,0
217,COVID-19,2020-02-01,Cabo Verde,0,0,0,0,0,0
218,COVID-19,2020-02-01,Cambodia,1,0,1,0,0,1
219,COVID-19,2020-02-01,Cameroon,0,0,0,0,0,0
220,COVID-19,2020-02-01,Canada,20,0,0,16,0,0
221,COVID-19,2020-02-01,Central African Republic,0,0,0,0,0,0
