Id,Month,Country,Confirmed,Deaths,Recovered,New cases,New deaths,New recovered
119,2020-01-01,Namibia,0,0,0,0,0,0
120,2020-01-01,Nepal,1,0,0,1,0,0
121,2020-01-01,Netherlands,0,0,0,0,0,0
122,2020-01-01,New Zealand,0,0,0,0,0,0
123,2020-01-01,Nicaragua,0,0,0,0,0,0
124,2020-01-01,Niger,0,0,0,0,0,0
125,2020-01-01,Nigeria,0,0,0,0,0,0
126,2020-01-01,North Macedonia,0,0,0,0,0,0
127,2020-01-01,Norway,0,0,0,0,0,0
128,2020-01-01,Oman,0,0,0,0,0,0
129,2020-01-01,Pakistan,0,0,0,0,0,0
130,2020-01-01,Panama,0,0,0,0,0,0
131,2020-01-01,Papua New Guinea,0,0,0,0,0,0
132,2020-01-01,Paraguay,0,0,0,0,0,0
133,2020-01-01,Peru,0,0,0,0,0,0
134,2020-01-01,Philippines,1,0,0,1,0,0
135,2020-01-01,Poland,0,0,0,0,0,0
136,2020-01-01,Portugal,0,0,0,0,0,0
137,2020-01-01,Qatar,0,0,0,0,0,0
138,2020-01-01,Romania,0,0,0,0,0,0
139,2020-01-01,Russia,2,0,0,2,0,0
140,2020-01-01,Rwanda,0,0,0,0,0,0
141,2020-01-01,Saint Kitts and Nevis,0,0,0,0,0,0
142,2020-01-01,Saint Lucia,0,0,0,0,0,0
143,2020-01-01,Saint Vincent and the Grenadines,0,0,0,0,0,0
144,2020-01-01,San Marino,0,0,0,0,0,0
145,2020-01-01,Sao Tome and Principe,0,0,0,0,0,0
146,2020-01-01,Saudi Arabia,0,0,0,0,0,0
147,2020-01-01,Senegal,0,0,0,0,0,0
148,2020-01-01,Serbia,0,0,0,0,0,0
149,2020-01-01,Seychelles,0,0,0,0,0,0
150,2020-01-01,Sierra Leone,0,0,0,0,0,0
151,2020-01-01,Singapore,13,0,0,13,0,0
152,2020-01-01,Slovakia,0,0,0,0,0,0
153,2020-01-01,Slovenia,0,0,0,0,0,0
154,2020-01-01,Somalia,0,0,0,0,0,0
155,2020-01-01,South Africa,0,0,0,0,0,0
156,2020-01-01,South Korea,11,0,0,10,0,0
157,2020-01-01,South Sudan,0,0,0,0,0,0
158,2020-01-01,Spain,0,0,0,0,0,0
159,2020-01-01,Sri Lanka,1,0,0,1,0,0
160,2020-01-01,Sudan,0,0,0,0,0,0
161,2020-01-01,Suriname,0,0,0,0,0,0
162,2020-01-01,Sweden,1,0,0,1,0,0
163,2020-01-01,Switzerland,0,0,0,0,0,0
164,2020-01-01,Syria,0,0,0,0,0,0
165,2020-01-01,Taiwan*,10,0,0,9,0,0
166,2020-01-01,Tajikistan,0,0,0,0,0,0
167,2020-01-01,Tanzania,0,0,0,0,0,0
168,2020-01-01,Thailand,19,0,5,17,0,5
169,2020-01-01,Timor-Leste,0,0,0,0,0,0
170,2020-01-01,Togo,0,0,0,0,0,0
171,2020-01-01,Trinidad and Tobago,0,0,0,0,0,0
172,2020-01-01,Tunisia,0,0,0,0,0,0
173,2020-01-01,Turkey,0,0,0,0,0,0
174,2020-01-01,US,7,0,0,6,0,0
175,2020-01-01,Uganda,0,0,0,0,0,0
176,2020-01-01,Ukraine,0,0,0,0,0,0
177,2020-01-01,United Arab Emirates,4,0,0,4,0,0
178,2020-01-01,United Kingdom,2,0,0,2,0,0
179,2020-01-01,Uruguay,0,0,0,0,0,0
180,2020-01-01,Uzbekistan,0,0,0,0,0,0
181,2020-01-01,Venezuela,0,0,0,0,0,0
182,2020-01-01,Vietnam,2,0,0,2,0,0
183,2020-01-01,West Bank and Gaza,0,0,0,0,0,0
184,2020-01-01,Western Sahara,0,0,0,0,0,0
185,2020-01-01,Yemen,0,0,0,0,0,0
186,2020-01-01,Zambia,0,0,0,0,0,0
187,2020-01-01,Zimbabwe,0,0,0,0,0,0
188,2020-02-01,Afghanistan,1,0,0,1,0,0
189,2020-02-01,Albania,0,0,0,0,0,0
190,2020-02-01,Algeria,1,0,0,1,0,0
191,2020-02-01,Andorra,0,0,0,0,0,0
192,2020-02-01,Angola,0,0,0,0,0,0
193,2020-02-01,Antigua and Barbuda,0,0,0,0,0,0
194,2020-02-01,Argentina,0,0,0,0,0,0
195,2020-02-01,Armenia,0,0,0,0,0,0
196,2020-02-01,Australia,25,0,11,16,0,9
197,2020-02-01,Austria,9,0,0,9,0,0
198,2020-02-01,Azerbaijan,0,0,0,0,0,0
199,2020-02-01,Bahamas,0,0,0,0,0,0
200,2020-02-01,Bahrain,41,0,0,41,0,0
201,2020-02-01,Bangladesh,0,0,0,0,0,0
202,2020-02-01,Barbados,0,0,0,0,0,0
203,2020-02-01,Belarus,1,0,0,1,0,0
204,2020-02-01,Belgium,1,0,1,1,0,1
205,2020-02-01,Belize,0,0,0,0,0,0
206,2020-02-01,Benin,0,0,0,0,0,0
207,2020-02-01,Bhutan,0,0,0,0,0,0
208,2020-02-01,Bolivia,0,0,0,0,0,0
209,2020-02-01,Bosnia and Herzegovina,0,0,0,0,0,0
210,2020-02-01,Botswana,0,0,0,0,0,0
211,2020-02-01,Brazil,2,0,0,2,0,0
212,2020-02-01,Brunei,0,0,0,0,0,0
213,2020-02-01,Bulgaria,0,0,0,0,0,0
214,2020-02-01,Burkina Faso,0,0,0,0,0,0
215,2020-02-01,Burma,0,0,0,0,0,0
216,2020-02-01,Burundi,0,0,0,0,0,0
217,2020-02-01,Cabo Verde,0,0,0,0,0,0
218,2020-02-01,Cambodia,1,0,1,0,0,1
219,2020-02-01,Cameroon,0,0,0,0,0,0
220,2020-02-01,Canada,20,0,0,16,0,0
221,2020-02-01,Central African Republic,0,0,0,0,0,0
222,2020-02-01,Chad,0,0,0,0,0,0
223,2020-02-01,Chile,2,0,0,2,0,0
224,2020-02-01,China,79356,2837,37868,69554,2624,37657
225,2020-02-01,Colombia,0,0,0,0,0,0
226,2020-02-01,Comoros,0,0,0,0,0,0
227,2020-02-01,Congo (Brazzaville),0,0,0,0,0,0
228,2020-02-01,Congo (Kinshasa),0,0,0,0,0,0
229,2020-02-01,Costa Rica,0,0,0,0,0,0
230,2020-02-01,Cote d'Ivoire,0,0,0,0,0,0
231,2020-02-01,Croatia,6,0,0,6,0,0
232,2020-02-01,Cuba,0,0,0,0,0,0
233,2020-02-01,Cyprus,0,0,0,0,0,0
234,2020-02-01,Czechia,0,0,0,0,0,0
235,2020-02-01,Denmark,3,0,0,3,0,0
236,2020-02-01,Djibouti,0,0,0,0,0,0
237,2020-02-01,Dominica,0,0,0,0,0,0
238,2020-02-01,Dominican Republic,0,0,0,0,0,0
239,2020-02-01,Ecuador,0,0,0,0,0,0
240,2020-02-01,Egypt,1,0,1,1,0,1
241,2020-02-01,El Salvador,0,0,0,0,0,0
242,2020-02-01,Equatorial Guinea,0,0,0,0,0,0
243,2020-02-01,Eritrea,0,0,0,0,0,0
244,2020-02-01,Estonia,1,0,0,1,0,0
245,2020-02-01,Eswatini,0,0,0,0,0,0
246,2020-02-01,Ethiopia,0,0,0,0,0,0
247,2020-02-01,Fiji,0,0,0,0,0,0
248,2020-02-01,Finland,3,0,1,2,0,1
