Nom,Location,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
Coronavirus,Afghanistan,36263.0,1269.0,25198,9796,106.0,10.0,18
Monkeypox,Africa,1612.0,19.0,-1,-1,112.0,5.0,-1
Coronavirus,Albania,4880.0,144.0,2745,1991,117.0,6.0,63
Coronavirus,Algeria,27973.0,1163.0,18837,7973,616.0,8.0,749
Monkeypox,Andorra,4.0,0.0,-1,-1,2.0,0.0,-1
Coronavirus,Andorra,907.0,52.0,803,52,10.0,0.0,0
Coronavirus,Angola,950.0,41.0,242,667,18.0,1.0,0
Coronavirus,Antigua and Barbuda,86.0,3.0,65,18,4.0,0.0,5
Coronavirus,Argentina,167416.0,3059.0,72575,91782,4890.0,120.0,2057
Monkeypox,Argentina,1129.0,2.0,-1,-1,96.0,1.0,-1
Coronavirus,Armenia,37390.0,711.0,26665,10014,73.0,6.0,187
Monkeypox,Aruba,3.0,0.0,-1,-1,1.0,0.0,-1
Monkeypox,Asia,673.0,1.0,-1,-1,26.0,1.0,-1
Coronavirus,Australia,15303.0,167.0,9311,5825,368.0,6.0,137
Monkeypox,Australia,145.0,0.0,-1,-1,18.0,0.0,-1
Monkeypox,Austria,328.0,0.0,-1,-1,25.0,0.0,-1
Coronavirus,Austria,20558.0,713.0,18246,1599,86.0,1.0,37
Coronavirus,Azerbaijan,30446.0,423.0,23242,6781,396.0,6.0,558
Coronavirus,Bahamas,382.0,11.0,91,280,40.0,0.0,0
Monkeypox,Bahamas,2.0,0.0,-1,-1,1.0,0.0,-1
Monkeypox,Bahrain,2.0,0.0,-1,-1,1.0,0.0,-1
Coronavirus,Bahrain,39482.0,141.0,36110,3231,351.0,1.0,421
Coronavirus,Bangladesh,226225.0,2965.0,125683,97577,2772.0,37.0,1801
Monkeypox,Barbados,1.0,0.0,-1,-1,1.0,0.0,-1
Coronavirus,Barbados,110.0,7.0,94,9,0.0,0.0,0
Coronavirus,Belarus,67251.0,538.0,60492,6221,119.0,4.0,67
Monkeypox,Belgium,793.0,2.0,-1,-1,89.0,1.0,-1
Coronavirus,Belgium,66428.0,9822.0,17452,39154,402.0,1.0,14
Coronavirus,Belize,48.0,2.0,26,20,0.0,0.0,0
Coronavirus,Benin,1770.0,35.0,1036,699,0.0,0.0,0
Monkeypox,Benin,3.0,0.0,-1,-1,3.0,0.0,-1
Monkeypox,Bermuda,1.0,0.0,-1,-1,1.0,0.0,-1
Coronavirus,Bhutan,99.0,0.0,86,13,4.0,0.0,1
Coronavirus,Bolivia,71181.0,2647.0,21478,47056,1752.0,64.0,309
Monkeypox,Bolivia,265.0,0.0,-1,-1,16.0,0.0,-1
