ID,Country/Region,Date,Confirmed,Deaths,Recovered,New cases,New deaths,New recovered
112,Belarus,2020-07-01,67251,538,60492,5133,146,14438
113,Belgium,2020-01-01,0,0,0,0,0,0
114,Belgium,2020-02-01,1,0,1,1,0,1
115,Belgium,2020-03-01,12775,705,1696,12774,705,1695
116,Belgium,2020-04-01,48519,7594,11576,35744,6889,9880
117,Belgium,2020-05-01,58381,9467,15887,9862,1873,4311
118,Belgium,2020-06-01,61427,9747,16984,3046,280,1097
119,Belgium,2020-07-01,66428,9822,17452,5001,75,468
120,Belize,2020-01-01,0,0,0,0,0,0
121,Belize,2020-02-01,0,0,0,0,0,0
122,Belize,2020-03-01,3,0,0,3,0,0
123,Belize,2020-04-01,18,2,9,15,2,9
124,Belize,2020-05-01,18,2,16,0,0,7
125,Belize,2020-06-01,24,2,18,6,0,2
126,Belize,2020-07-01,48,2,26,24,0,8
127,Benin,2020-01-01,0,0,0,0,0,0
128,Benin,2020-02-01,0,0,0,0,0,0
129,Benin,2020-03-01,9,0,1,9,0,1
130,Benin,2020-04-01,64,1,33,55,1,32
131,Benin,2020-05-01,232,3,143,377,2,110
132,Benin,2020-06-01,1199,21,333,967,18,190
133,Benin,2020-07-01,1770,35,1036,571,14,703
134,Bhutan,2020-01-01,0,0,0,0,0,0
135,Bhutan,2020-02-01,0,0,0,0,0,0
136,Bhutan,2020-03-01,4,0,0,4,0,0
137,Bhutan,2020-04-01,7,0,5,3,0,5
138,Bhutan,2020-05-01,43,0,6,36,0,1
139,Bhutan,2020-06-01,77,0,48,34,0,42
140,Bhutan,2020-07-01,99,0,86,22,0,38
141,Bolivia,2020-01-01,0,0,0,0,0,0
142,Bolivia,2020-02-01,0,0,0,0,0,0
143,Bolivia,2020-03-01,107,6,0,107,6,0
144,Bolivia,2020-04-01,1167,62,132,1060,56,132
145,Bolivia,2020-05-01,9982,313,968,8815,251,836
146,Bolivia,2020-06-01,33219,1123,9340,23237,810,8372
147,Bolivia,2020-07-01,71181,2647,21478,37962,1524,12138
148,Bosnia and Herzegovina,2020-01-01,0,0,0,0,0,0
149,Bosnia and Herzegovina,2020-02-01,0,0,0,0,0,0
150,Bosnia and Herzegovina,2020-03-01,420,13,17,420,13,17
151,Bosnia and Herzegovina,2020-04-01,1757,69,727,1337,56,710
152,Bosnia and Herzegovina,2020-05-01,2510,153,1862,753,84,1135
153,Bosnia and Herzegovina,2020-06-01,4453,186,2402,1943,33,540
154,Bosnia and Herzegovina,2020-07-01,10498,294,4930,6045,108,2528
155,Botswana,2020-01-01,0,0,0,0,0,0
156,Botswana,2020-02-01,0,0,0,0,0,0
157,Botswana,2020-03-01,4,1,0,4,1,0
158,Botswana,2020-04-01,23,1,5,19,0,5
159,Botswana,2020-05-01,35,1,20,12,0,15
160,Botswana,2020-06-01,227,1,28,192,0,8
161,Botswana,2020-07-01,739,2,63,512,1,35
162,Brazil,2020-01-01,0,0,0,0,0,0
163,Brazil,2020-02-01,2,0,0,2,0,0
164,Brazil,2020-03-01,5717,201,127,5715,201,127
165,Brazil,2020-04-01,87187,6006,35935,81470,5805,35808
166,Brazil,2020-05-01,514849,29314,206555,427662,23308,170620
167,Brazil,2020-06-01,1402041,59594,788318,887192,30280,581763
168,Brazil,2020-07-01,2442375,87618,1846641,1040334,28024,1058323
169,Brunei,2020-01-01,0,0,0,0,0,0
170,Brunei,2020-02-01,0,0,0,0,0,0
171,Brunei,2020-03-01,129,1,45,129,1,45
172,Brunei,2020-04-01,138,1,124,9,0,79
173,Brunei,2020-05-01,141,2,138,3,1,14
174,Brunei,2020-06-01,141,3,138,0,1,0
175,Brunei,2020-07-01,141,3,138,0,0,0
176,Bulgaria,2020-01-01,0,0,0,0,0,0
177,Bulgaria,2020-02-01,0,0,0,0,0,0
178,Bulgaria,2020-03-01,399,8,17,399,8,17
179,Bulgaria,2020-04-01,1506,66,266,1107,58,249
180,Bulgaria,2020-05-01,2513,140,1074,1007,74,808
181,Bulgaria,2020-06-01,4989,230,2676,2476,90,1602
182,Bulgaria,2020-07-01,10621,347,5585,5632,117,2909
183,Burkina Faso,2020-01-01,0,0,0,0,0,0
184,Burkina Faso,2020-02-01,0,0,0,0,0,0
185,Burkina Faso,2020-03-01,261,14,32,261,14,32
186,Burkina Faso,2020-04-01,645,43,506,384,29,474
187,Burkina Faso,2020-05-01,847,53,720,202,10,214
188,Burkina Faso,2020-06-01,962,53,838,115,0,118
189,Burkina Faso,2020-07-01,1100,53,926,138,0,88
190,Burma,2020-01-01,0,0,0,0,0,0
191,Burma,2020-02-01,0,0,0,0,0,0
192,Burma,2020-03-01,15,1,0,15,1,0
193,Burma,2020-04-01,151,6,27,136,5,27
194,Burma,2020-05-01,224,6,138,73,0,111
195,Burma,2020-06-01,299,6,222,75,0,84
196,Burma,2020-07-01,350,6,292,51,0,70
197,Burundi,2020-01-01,0,0,0,0,0,0
198,Burundi,2020-02-01,0,0,0,0,0,0
199,Burundi,2020-03-01,2,0,0,2,0,0
200,Burundi,2020-04-01,11,1,4,9,1,4
201,Burundi,2020-05-01,63,1,33,52,0,29
202,Burundi,2020-06-01,170,1,115,107,0,82
203,Burundi,2020-07-01,378,1,301,208,0,186
204,Cabo Verde,2020-01-01,0,0,0,0,0,0
205,Cabo Verde,2020-02-01,0,0,0,0,0,0
206,Cabo Verde,2020-03-01,6,1,0,6,1,0
207,Cabo Verde,2020-04-01,121,1,4,115,0,4
208,Cabo Verde,2020-05-01,435,4,193,314,3,189
209,Cabo Verde,2020-06-01,1227,15,629,792,11,436
210,Cabo Verde,2020-07-01,2328,22,1550,1101,7,921
