Id,Nom,Location,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
158,Coronavirus,Latvia,1219.0,31.0,1045,143,0.0,0.0,0
159,Monkeypox,Latvia,6.0,0.0,-1,-1,1.0,0.0,-1
160,Coronavirus,Lebanon,3882.0,51.0,1709,2122,132.0,0.0,17
161,Monkeypox,Lebanon,27.0,0.0,-1,-1,6.0,0.0,-1
162,Coronavirus,Lesotho,505.0,12.0,128,365,0.0,0.0,0
163,Monkeypox,Liberia,12.0,0.0,-1,-1,2.0,0.0,-1
164,Coronavirus,Liberia,1167.0,72.0,646,449,5.0,0.0,5
165,Coronavirus,Libya,2827.0,64.0,577,2186,158.0,4.0,24
166,Coronavirus,Liechtenstein,86.0,1.0,81,4,0.0,0.0,0
167,Coronavirus,Lithuania,2019.0,80.0,1620,319,11.0,0.0,4
168,Monkeypox,Lithuania,5.0,0.0,-1,-1,2.0,0.0,-1
169,Coronavirus,Luxembourg,6321.0,112.0,4825,1384,49.0,0.0,178
170,Monkeypox,Luxembourg,57.0,0.0,-1,-1,5.0,0.0,-1
171,Coronavirus,Madagascar,9690.0,91.0,6260,3339,395.0,6.0,681
172,Coronavirus,Malawi,3664.0,99.0,1645,1920,24.0,0.0,6
173,Coronavirus,Malaysia,8904.0,124.0,8601,179,7.0,0.0,1
174,Coronavirus,Maldives,3369.0,15.0,2547,807,67.0,0.0,19
175,Coronavirus,Mali,2513.0,124.0,1913,476,3.0,1.0,2
176,Coronavirus,Malta,701.0,9.0,665,27,1.0,0.0,0
177,Monkeypox,Malta,34.0,0.0,-1,-1,8.0,0.0,-1
178,Monkeypox,Martinique,7.0,0.0,-1,-1,6.0,0.0,-1
179,Coronavirus,Mauritania,6208.0,156.0,4653,1399,37.0,0.0,223
180,Coronavirus,Mauritius,344.0,10.0,332,2,0.0,0.0,0
181,Monkeypox,Mexico,4010.0,26.0,-1,-1,341.0,12.0,-1
182,Coronavirus,Mexico,395489.0,44022.0,303810,47657,4973.0,342.0,8588
183,Monkeypox,Moldova,2.0,0.0,-1,-1,1.0,0.0,-1
184,Coronavirus,Moldova,23154.0,748.0,16154,6252,120.0,13.0,245
185,Monkeypox,Monaco,3.0,0.0,-1,-1,3.0,0.0,-1
186,Coronavirus,Monaco,116.0,4.0,104,8,0.0,0.0,0
187,Coronavirus,Mongolia,289.0,0.0,222,67,1.0,0.0,4
188,Coronavirus,Montenegro,2893.0,45.0,809,2039,94.0,2.0,70
189,Monkeypox,Montenegro,2.0,0.0,-1,-1,1.0,0.0,-1
190,Coronavirus,Morocco,20887.0,316.0,16553,4018,609.0,3.0,115
191,Monkeypox,Morocco,3.0,0.0,-1,-1,2.0,0.0,-1
192,Monkeypox,Mozambique,1.0,1.0,-1,-1,1.0,1.0,-1
193,Coronavirus,Mozambique,1701.0,11.0,0,1690,32.0,0.0,0
194,Coronavirus,Namibia,1843.0,8.0,101,1734,68.0,0.0,26
195,Coronavirus,Nepal,18752.0,48.0,13754,4950,139.0,3.0,626
196,Coronavirus,Netherlands,53413.0,6160.0,189,47064,419.0,1.0,0
197,Monkeypox,Netherlands,1264.0,0.0,-1,-1,107.0,0.0,-1
